cno,경매 제목,경매 내용,경매 등록 날짜,경매 종료 날자,등록 가격
8160,2016년형 중고 기아 카렌스 경매,승용차의 스타일과 편의 기능을 경험하세요.,2023-09-16,2023-10-02,9850000
8161,2017년형 쌍용 렉스턴 스포츠 경매,스포츠 유틸리티 차량의 성능을 경험하세요.,2023-10-12,2023-10-22,16600000
8878,2017년형 기아 셀토스 최신 모델 경매,도심에서도 빛을 발하는 스타일과 편의를 경험하세요.,2023-10-04,2023-11-03,13250000
8879,2019년형 한정판 쌍용 코란도 경매,한정판 쌍용 코란도를 경매로 만나보세요. 고급 감각의 디자인과 탁월한 주행 능력을 경험할 기회입니다.,2023-10-17,2023-10-31,12300000
9011,2017년식 현대 그랜드 스타렉스 경매,대가족을 위한 편리한 여행을 즐기세요.,2023-10-21,2023-11-12,14750000
9012,2019년형 기아 카니발 미니밴 경매,미니밴을 찾는 분들을 위한 기아 카니발을 경매로 만나보세요. 넓은 실내와 편리한 기능을 제공합니다.,2023-09-24,2023-10-22,18750000
9042,2017년형 쌍용 티볼리 판매,도시 주행에 최적화된 스타일리시한 차량입니다.,2023-10-03,2023-10-23,10100000
9043,2018년식 기아 올 뉴 K3 중고차 경매,경제성과 편의성을 결합한 승용차입니다.,2023-09-18,2023-10-12,15900000
9047,2019년형 기아 스팅어 경매,기아 스팅어를 경매로 판매합니다. 스포츠 세단의 역동적인 운전을 즐기세요.,2023-09-19,2023-10-14,15850000
9055,2017년형 르노삼성 SM6 경매,스타일과 기술의 조화를 느껴보세요.,2023-10-18,2023-11-04,12950000
9057,2017년형 르노삼성 XM3 신차 경매,신차 르노삼성 XM3를 경매로 판매합니다. 혁신적인 디자인과 고급 편의 기능을 탑재한 차량입니다.,2023-09-20,2023-10-11,12500000
9065,2018년형 중고 쉐보레 말리부 경매,중고 쉐보레 말리부를 경매로 만나보세요. 스타일과 성능을 저렴한 가격에 누리세요.,2023-10-11,2023-11-10,12300000
9067,2018년형 기아 셀토스 최신 모델 경매,도심에서도 빛을 발하는 스타일과 편의를 경험하세요.,2023-10-14,2023-10-25,13000000
9068,2016년형 중고 쉐보레 스파크 경매,중고 쉐보레 스파크를 경매로 만나보세요. 경제적이고 환경 친화적인 차량입니다.,2023-10-26,2023-11-22,9050000
9071,2018년형 중고 쉐보레 말리부 경매,중고 쉐보레 말리부를 경매로 만나보세요. 스타일과 성능을 저렴한 가격에 누리세요.,2023-10-08,2023-10-31,13350000
9072,2017년형 중고 쉐보레 말리부 경매,중고 쉐보레 말리부를 경매로 만나보세요. 스타일과 성능을 저렴한 가격에 누리세요.,2023-10-04,2023-10-17,12250000
9073,2016년형 쌍용 렉스턴 스포츠 경매,스포츠 유틸리티 차량의 성능을 경험하세요.,2023-10-26,2023-11-20,14700000
9079,2020년식 현대 아반떼 경매,저렴한 가격에 고품질의 시승 경험을 즐기세요.,2023-09-27,2023-10-17,16050000
9082,2020년형 기아 스팅어 경매,기아 스팅어를 경매로 판매합니다. 스포츠 세단의 역동적인 운전을 즐기세요.,2023-10-04,2023-10-28,17100000
9083,2020년형 기아 쏘렌토 경매 중,고급 내장재와 뛰어난 주행 성능을 경험하세요.,2023-09-24,2023-10-20,15600000
9088,2016년식 현대 아이오닉 중고차 경매,친환경 하이브리드 차량의 미래를 경험하세요.,2023-10-25,2023-11-14,14450000
9089,2018년형 르노삼성 XM3 신차 경매,신차 르노삼성 XM3를 경매로 판매합니다. 혁신적인 디자인과 고급 편의 기능을 탑재한 차량입니다.,2023-10-19,2023-11-16,12650000
9090,2018년식 기아 스포티지 중고차 경매,스포츠 유틸리티 차량의 성능을 경험하세요.,2023-10-18,2023-11-15,8850000
9091,2016년형 르노삼성 QM6 중고차 경매,스타일과 기술의 조화를 느껴보세요.,2023-10-17,2023-10-28,13450000
9096,2018년형 현대 그랜저 경매,프리미엄 세단의 품격을 경험하세요.,2023-10-15,2023-11-11,13400000
9098,2019년식 현대 아반떼 경매,저렴한 가격에 고품질의 시승 경험을 즐기세요.,2023-10-29,2023-11-12,15150000
9099,2019년식 현대 쏘나타 중고차 경매,중고차 현대 쏘나타를 경매로 판매합니다. 스타일과 편의 기능을 저렴한 가격에 만나보세요.,2023-09-25,2023-10-22,15600000
9101,2019년식 현대 쏘나타 중고차 경매,중고차 현대 쏘나타를 경매로 판매합니다. 스타일과 편의 기능을 저렴한 가격에 만나보세요.,2023-10-15,2023-11-10,15350000
9102,2015년형 쌍용 렉스턴 스포츠 경매,스포츠 유틸리티 차량의 성능을 경험하세요.,2023-10-24,2023-11-12,13800000
9103,2017년형 기아 K7 경매,승용차의 고급 편의와 성능을 경,2023-10-08,2023-11-01,14800000
9106,2019년식 현대 쏘나타 중고차 경매,중고차 현대 쏘나타를 경매로 판매합니다. 스타일과 편의 기능을 저렴한 가격에 만나보세요.,2023-10-30,2023-11-14,14100000
9109,2019년식 현대 쏘나타 중고차 경매,중고차 현대 쏘나타를 경매로 판매합니다. 스타일과 편의 기능을 저렴한 가격에 만나보세요.,2023-09-29,2023-10-15,14650000
9110,2017년형 중고 쉐보레 스파크 경매,중고 쉐보레 스파크를 경매로 만나보세요. 경제적이고 환경 친화적인 차량입니다.,2023-09-15,2023-10-15,9800000
9113,2019년형 중고 쉐보레 카마로 경매,스포츠 카의 역동적인 성능을 누리세요.,2023-10-17,2023-11-03,24050000
9114,2019년형 기아 K7 경매,승용차의 고급 편의와 성능을 경,2023-10-24,2023-11-21,16900000
9115,2018년형 르노삼성 QM6 중고차 경매,스타일과 기술의 조화를 느껴보세요.,2023-09-24,2023-10-22,14500000
9120,2018년형 현대 그랜저 경매,프리미엄 세단의 품격을 경험하세요.,2023-10-12,2023-10-24,13500000
9125,2018년형 기아 카니발 미니밴 경매,미니밴을 찾는 분들을 위한 기아 카니발을 경매로 만나보세요. 넓은 실내와 편리한 기능을 제공합니다.,2023-09-17,2023-10-15,16700000
9127,2019년식 현대 쏘나타 중고차 경매,중고차 현대 쏘나타를 경매로 판매합니다. 스타일과 편의 기능을 저렴한 가격에 만나보세요.,2023-09-17,2023-09-30,14800000
9128,2018년식 현대 아이오닉 중고차 경매,친환경 하이브리드 차량의 미래를 경험하세요.,2023-10-07,2023-10-23,16650000
9129,2019년형 르노삼성 XM3 신차 경매,신차 르노삼성 XM3를 경매로 판매합니다. 혁신적인 디자인과 고급 편의 기능을 탑재한 차량입니다.,2023-10-17,2023-11-07,14200000
9131,2017년형 르노삼성 SM6 경매,스타일과 기술의 조화를 느껴보세요.,2023-10-14,2023-11-11,14050000
9132,2018년형 르노삼성 XM3 신차 경매,신차 르노삼성 XM3를 경매로 판매합니다. 혁신적인 디자인과 고급 편의 기능을 탑재한 차량입니다.,2023-10-23,2023-11-16,12700000
9133,2018년식 현대 아반떼 경매,저렴한 가격에 고품질의 시승 경험을 즐기세요.,2023-10-29,2023-11-11,13950000
9134,2017년형 기아 셀토스 최신 모델 경매,도심에서도 빛을 발하는 스타일과 편의를 경험하세요.,2023-09-24,2023-10-14,12300000
9135,2018년형 중고 쉐보레 카마로 경매,스포츠 카의 역동적인 성능을 누리세요.,2023-09-15,2023-10-07,21350000
9138,2019년형 기아 K7 경매,승용차의 고급 편의와 성능을 경,2023-10-26,2023-11-20,16650000
9139,2017년형 중고 기아 카렌스 경매,승용차의 스타일과 편의 기능을 경험하세요.,2023-10-15,2023-11-03,10300000
9143,2019년식 기아 스포티지 중고차 경매,스포츠 유틸리티 차량의 성능을 경험하세요.,2023-09-25,2023-10-10,10100000
9150,2016년식 기아 올 뉴 K3 중고차 경매,경제성과 편의성을 결합한 승용차입니다.,2023-10-18,2023-11-04,14450000
9156,2020년형 기아 스팅어 경매,기아 스팅어를 경매로 판매합니다. 스포츠 세단의 역동적인 운전을 즐기세요.,2023-10-07,2023-10-27,16550000
9160,2017년형 중고 기아 카렌스 경매,승용차의 스타일과 편의 기능을 경험하세요.,2023-10-09,2023-11-03,10200000
9164,2020년형 한정판 쌍용 코란도 경매,한정판 쌍용 코란도를 경매로 만나보세요. 고급 감각의 디자인과 탁월한 주행 능력을 경험할 기회입니다.,2023-09-30,2023-10-14,13350000
9174,2018년식 기아 니로 경매,하이브리드 기술과 현대적인 디자인을 경험하세요.,2023-10-06,2023-10-21,9900000
9178,2017년식 현대 아이오닉 중고차 경매,친환경 하이브리드 차량의 미래를 경험하세요.,2023-10-29,2023-11-24,15250000
9179,2018년식 현대 쏘나타 중고차 경매,중고차 현대 쏘나타를 경매로 판매합니다. 스타일과 편의 기능을 저렴한 가격에 만나보세요.,2023-10-22,2023-11-01,14400000
9180,2019년식 현대 아반떼 경매,저렴한 가격에 고품질의 시승 경험을 즐기세요.,2023-10-06,2023-10-24,15200000
9181,2019년형 중고 쉐보레 말리부 경매,중고 쉐보레 말리부를 경매로 만나보세요. 스타일과 성능을 저렴한 가격에 누리세요.,2023-09-23,2023-10-14,13500000
9192,2015년형 쌍용 렉스턴 스포츠 경매,스포츠 유틸리티 차량의 성능을 경험하세요.,2023-09-19,2023-10-01,14350000
9193,2019년형 기아 카니발 미니밴 경매,미니밴을 찾는 분들을 위한 기아 카니발을 경매로 만나보세요. 넓은 실내와 편리한 기능을 제공합니다.,2023-09-23,2023-10-18,17100000
9194,2019년식 현대 크레타 중고차 경매,경제성과 편의성을 결합한 스포츠 유틸리티 차량입니다.,2023-10-18,2023-10-30,16900000
9200,2018년식 현대 투싼 경매,다재다능한 SUV의 편의와 성능을 경험하세요.,2023-10-18,2023-11-10,15700000
9203,2017년형 기아 K5 경매,스포츠 세단의 역동적인 운전을 즐기세요.,2023-09-21,2023-10-09,11850000
9205,2019년식 현대 쏘나타 중고차 경매,중고차 현대 쏘나타를 경매로 판매합니다. 스타일과 편의 기능을 저렴한 가격에 만나보세요.,2023-10-09,2023-10-23,15650000
9206,2018년식 현대 아반떼 경매,저렴한 가격에 고품질의 시승 경험을 즐기세요.,2023-10-12,2023-10-27,15250000
9209,2019년형 기아 카니발 미니밴 경매,미니밴을 찾는 분들을 위한 기아 카니발을 경매로 만나보세요. 넓은 실내와 편리한 기능을 제공합니다.,2023-10-22,2023-11-16,17450000
9215,2017년형 중고 쉐보레 말리부 경매,중고 쉐보레 말리부를 경매로 만나보세요. 스타일과 성능을 저렴한 가격에 누리세요.,2023-10-05,2023-10-20,11650000
9216,2017년형 쌍용 티볼리 판매,도시 주행에 최적화된 스타일리시한 차량입니다.,2023-10-04,2023-10-16,10250000
9217,2020년형 기아 카니발 미니밴 경매,미니밴을 찾는 분들을 위한 기아 카니발을 경매로 만나보세요. 넓은 실내와 편리한 기능을 제공합니다.,2023-10-30,2023-11-29,18050000
9219,2017년형 르노삼성 XM3 신차 경매,신차 르노삼성 XM3를 경매로 판매합니다. 혁신적인 디자인과 고급 편의 기능을 탑재한 차량입니다.,2023-10-13,2023-11-05,11550000
9220,2018년형 한정판 쌍용 코란도 경매,한정판 쌍용 코란도를 경매로 만나보세요. 고급 감각의 디자인과 탁월한 주행 능력을 경험할 기회입니다.,2023-10-30,2023-11-27,12400000
9223,2018년형 중고 쉐보레 말리부 경매,중고 쉐보레 말리부를 경매로 만나보세요. 스타일과 성능을 저렴한 가격에 누리세요.,2023-10-01,2023-10-16,12400000
9224,2016년식 기아 올 뉴 K3 중고차 경매,경제성과 편의성을 결합한 승용차입니다.,2023-09-26,2023-10-16,14300000
9225,2017년식 현대 아이오닉 중고차 경매,친환경 하이브리드 차량의 미래를 경험하세요.,2023-09-24,2023-10-08,15350000
9226,2018년형 르노삼성 XM3 신차 경매,신차 르노삼성 XM3를 경매로 판매합니다. 혁신적인 디자인과 고급 편의 기능을 탑재한 차량입니다.,2023-10-26,2023-11-16,13000000
9229,2019년형 중고 쉐보레 카마로 경매,스포츠 카의 역동적인 성능을 누리세요.,2023-09-28,2023-10-11,23350000
9231,2018년형 기아 쏘렌토 경매 중,고급 내장재와 뛰어난 주행 성능을 경험하세요.,2023-10-17,2023-11-08,14350000
9232,2017년형 중고 쉐보레 말리부 경매,중고 쉐보레 말리부를 경매로 만나보세요. 스타일과 성능을 저렴한 가격에 누리세요.,2023-10-24,2023-11-22,11950000
9233,2018년형 기아 쏘렌토 경매 중,고급 내장재와 뛰어난 주행 성능을 경험하세요.,2023-10-07,2023-11-03,13950000
9234,2019년형 기아 스팅어 경매,기아 스팅어를 경매로 판매합니다. 스포츠 세단의 역동적인 운전을 즐기세요.,2023-10-08,2023-10-29,15450000
9239,2020년형 기아 스팅어 경매,기아 스팅어를 경매로 판매합니다. 스포츠 세단의 역동적인 운전을 즐기세요.,2023-09-29,2023-10-19,16900000
9240,2019년형 기아 쏘렌토 경매 중,고급 내장재와 뛰어난 주행 성능을 경험하세요.,2023-09-22,2023-10-02,14700000
9243,2018년형 중고 쉐보레 말리부 경매,중고 쉐보레 말리부를 경매로 만나보세요. 스타일과 성능을 저렴한 가격에 누리세요.,2023-10-25,2023-11-20,13350000
9244,2019년형 기아 K7 경매,승용차의 고급 편의와 성능을 경,2023-09-29,2023-10-10,15650000
9246,2016년형 중고 기아 카렌스 경매,승용차의 스타일과 편의 기능을 경험하세요.,2023-09-17,2023-10-16,10000000
9247,2020년형 기아 쏘렌토 경매 중,고급 내장재와 뛰어난 주행 성능을 경험하세요.,2023-10-18,2023-11-10,15450000
9248,2016년형 쌍용 렉스턴 스포츠 경매,스포츠 유틸리티 차량의 성능을 경험하세요.,2023-09-19,2023-09-29,15900000
9249,2019년식 현대 그랜드 스타렉스 경매,대가족을 위한 편리한 여행을 즐기세요.,2023-10-30,2023-11-09,16250000
9250,2019년형 르노삼성 XM3 신차 경매,신차 르노삼성 XM3를 경매로 판매합니다. 혁신적인 디자인과 고급 편의 기능을 탑재한 차량입니다.,2023-10-28,2023-11-18,13300000
9252,2017년형 중고 기아 카렌스 경매,승용차의 스타일과 편의 기능을 경험하세요.,2023-09-29,2023-10-28,10100000
9253,2016년식 현대 팰리세이드 7인승 SUV 경매,7인승 SUV 현대 팰리세이드를 경매로 판매합니다. 대가족 및 모험가를 위한 완벽한 선택입니다.,2023-10-10,2023-10-28,16300000
9261,2017년형 쌍용 렉스턴 스포츠 경매,스포츠 유틸리티 차량의 성능을 경험하세요.,2023-10-24,2023-11-04,16400000
9262,2018년형 현대 그랜저 경매,프리미엄 세단의 품격을 경험하세요.,2023-09-30,2023-10-12,13700000
9263,2017년형 중고 쉐보레 말리부 경매,중고 쉐보레 말리부를 경매로 만나보세요. 스타일과 성능을 저렴한 가격에 누리세요.,2023-09-19,2023-10-03,12650000
9265,2018년형 쌍용 티볼리 판매,도시 주행에 최적화된 스타일리시한 차량입니다.,2023-09-30,2023-10-13,10300000
9271,2018년형 현대 그랜저 경매,프리미엄 세단의 품격을 경험하세요.,2023-10-25,2023-11-18,13450000
9272,2019년형 기아 쏘렌토 경매 중,고급 내장재와 뛰어난 주행 성능을 경험하세요.,2023-10-01,2023-10-22,16050000
